sex,species,pow,rw,sopd,cw,ifl,ml,mw,md,arh
1,0,249,227,531,153,88,1086,131,179,591
1,0,233,248,632,141,100,1158,148,181,643
1,0,244,240,575,144,107,1131,116,169,610
1,0,224,242,568,116,79,1090,132,189,594
1,0,241,252,607,120,99,1175,131,197,654
1,0,234,185,462,188,90,901,101,138,476
1,0,237,238,577,149,101,1084,124,168,578
1,0,240,245,614,128,91,1149,129,175,628
1,0,248,219,584,151,117,1069,121,159,578
1,0,227,268,659,103,94,1240,132,196,683
1,0,251,284,699,86,79,1345,148,232,772
1,0,236,249,628,107,85,1179,132,180,652
1,0,251,281,692,82,125,1309,145,210,712
1,0,258,288,764,104,81,1443,157,222,731
1,0,234,282,673,81,75,1339,135,207,692
1,0,249,258,702,57,109,1361,140,208,713
1,0,261,314,710,81,104,1377,137,206,754
1,0,250,299,674,115,107,1253,142,194,688
1,0,246,287,691,82,89,1293,137,213,722
1,0,243,306,695,83,130,,138,183,701
1,0,277,350,780,84,116,1539,163,238,795
1,0,273,265,736,121,83,,159,227,770
1,0,252,330,784,21,89,1530,152,232,829
1,0,239,315,765,39,137,1526,138,218,776
1,0,233,347,798,41,100,1547,140,243,842
2,0,221,201,497,203,82,933,106,154,533
2,0,226,220,569,164,72,1059,113,164,578
2,0,256,234,613,148,106,1197,129,173,651
2,0,249,228,605,147,99,1131,126,167,621
2,0,233,264,664,131,94,1215,139,200,660
2,0,240,288,665,125,104,1202,147,192,676
2,0,235,247,615,129,100,1176,128,171,638
2,0,238,242,589,125,99,1198,128,169,649
2,0,210,222,599,101,106,1151,122,176,629
2,0,229,265,646,121,88,1214,130,195,668
2,0,233,301,722,104,117,1324,147,198,731
2,0,222,286,663,135,105,1258,131,205,688
2,0,248,258,699,103,70,1355,149,193,724
2,0,236,264,644,112,91,1257,139,215,681
2,0,251,272,672,80,93,1344,137,204,735
2,0,235,271,646,82,67,1297,135,203,709
2,0,234,259,688,123,130,1265,137,175,684
2,0,205,262,625,70,118,1235,124,180,659
2,0,244,288,647,114,111,1290,148,194,706
2,0,243,271,,193,101,1321,143,218,741
2,0,212,302,684,74,103,1355,141,206,706
2,0,222,306,699,95,97,1370,139,218,733
2,0,205,320,704,28,93,1394,131,182,733
2,0,238,326,716,122,90,1366,129,174,715
2,0,244,282,687,100,119,1314,126,198,706
1,1,242,269,589,135,85,1160,125,170,659
1,1,235,215,542,153,93,1054,118,156,556
1,1,272,236,577,154,102,1094,122,158,625
1,1,230,250,589,124,88,1110,136,179,636
1,1,245,240,574,156,95,1083,133,178,623
1,1,231,229,582,113,78,1115,123,164,616
1,1,226,261,570,138,76,1102,123,171,603
1,1,212,235,533,129,91,,112,159,608
1,1,231,275,640,136,100,1117,135,194,654
1,1,246,302,,75,103,1365,148,184,745
1,1,242,247,,94,100,1249,148,190,709
1,1,227,234,647,129,84,1213,131,186,634
1,1,251,253,662,134,91,1225,144,205,716
1,1,220,268,638,83,95,1264,141,203,712
1,1,243,294,,104,107,,146,194,761
1,1,236,306,,62,78,1357,138,208,770
1,1,270,318,709,107,120,1361,153,196,755
1,1,239,243,624,115,105,1181,128,192,676
1,1,252,318,694,18,98,1337,140,194,759
1,1,268,,744,72,90,1395,146,184,768
1,1,275,368,753,56,80,1482,146,227,794
1,1,234,345,754,13,92,1568,163,216,824
1,1,220,313,726,38,95,1503,159,211,775
2,1,202,,435,216,96,856,101,132,473
2,1,245,242,587,125,114,1164,123,166,645
2,1,232,237,554,170,113,1055,120,166,580
2,1,215,193,475,209,76,894,103,134,511
2,1,236,248,607,129,107,1125,130,171,631
2,1,233,,603,159,72,1132,129,197,619
2,1,233,235,,157,60,1070,132,182,612
2,1,240,271,626,88,96,1198,132,191,665
2,1,249,271,634,129,80,1209,138,210,708
2,1,283,256,,148,95,1136,129,190,679
2,1,236,237,645,138,83,1219,143,188,702
2,1,261,240,656,140,87,1210,143,194,695
2,1,262,251,650,176,105,1194,138,197,704
2,1,245,290,656,112,108,1237,127,187,679
2,1,245,271,641,101,90,1245,132,196,729
2,1,222,326,625,87,85,1287,135,196,692
2,1,254,264,650,112,91,1243,125,200,668
2,1,230,266,629,127,88,1228,136,194,709
2,1,238,273,645,70,121,1275,131,192,689
2,1,268,267,656,135,114,1296,142,219,699
2,1,240,256,638,120,107,1248,129,198,692
2,1,239,294,698,140,117,1314,135,212,722
2,1,247,320,695,86,126,1430,154,205,770
2,1,270,333,705,65,97,1450,154,240,813
2,1,247,312,,73,95,1415,138,220,760
1,2,261,250,618,151,98,1162,133,186,640
1,2,249,261,619,172,86,1220,147,193,655
1,2,253,250,,138,96,1187,151,196,700
1,2,260,252,646,140,106,1187,146,202,688
1,2,290,300,687,189,88,1450,160,236,799
1,2,243,265,667,134,104,1315,144,201,750
1,2,240,283,685,144,102,,151,200,734
1,2,230,280,678,110,95,,156,212,760
1,2,254,294,687,172,93,,146,207,772
1,2,243,272,675,118,80,1320,154,217,753
1,2,235,314,738,114,92,1422,166,227,805
1,2,242,268,639,160,88,1245,147,185,672
1,2,265,290,719,115,96,1367,159,223,777
1,2,217,309,721,104,75,,149,207,778
1,2,242,276,689,119,94,1369,159,215,765
1,2,240,288,735,111,104,1412,157,227,823
1,2,236,340,735,129,98,,166,239,859
1,2,207,330,764,80,105,,159,226,841
1,2,258,328,744,149,96,1502,167,239,853
1,2,213,337,728,78,76,1466,158,214,835
1,2,239,319,742,126,94,1408,169,209,836
1,2,233,312,703,106,87,1474,158,239,822
1,2,222,322,737,125,117,,161,222,799
1,2,210,308,751,60,73,1452,154,215,815
1,2,262,371,770,151,100,1555,156,271,880
2,2,240,216,563,199,70,1078,130,181,634
2,2,214,239,587,153,79,1103,133,182,666
2,2,230,227,574,169,72,1046,131,170,616
2,2,247,215,585,167,90,1058,132,179,629
2,2,226,237,609,155,93,1073,130,178,648
2,2,220,245,611,181,85,1140,135,188,657
2,2,274,266,,214,80,1067,127,176,639
2,2,217,173,481,198,61,880,108,152,511
2,2,234,249,603,153,73,1163,129,194,654
