Sort Key,Station,Source,Type,Ba137,Ba138,Ca43,Mg24,Mg25,Mg26,Sr86,Sr87,Sr88
1,GJHFR-127A,GJH,FR,0.001933668,0.012005522,0.664002672,1.833590311,0.236920752,0.270374102,0.155446432,0.111999483,1.336648838
2,GJHFR-127A,GJH,FR,0.001942683,0.011827562,0.651849486,1.859359806,0.247284115,0.276512305,0.15720303,0.110266772,1.280202028
3,GJHFR-127A,GJH,FR,0.001939741,0.012155866,0.690989487,1.914686903,0.249688523,0.28886283,0.160036824,0.114628485,1.336164028
4,GJHFR-127A,GJH,FR,0.001831987,0.012044739,0.654403399,1.934498253,0.253520245,0.284064688,0.157741786,0.109419345,1.321985716
5,GJHFR-127A,GJH,FR,0.001775517,0.011125891,0.650398489,1.978344374,0.251995308,0.283699741,0.152574199,0.106798081,1.306923959
6,GJHFR-127A,GJH,FR,0.001719808,0.010983334,0.681543781,2.020197595,0.266348657,0.301105748,0.161887412,0.116747962,1.387171532
7,GJHFR-127A,GJH,FR,0.001654047,0.010138911,0.6634253,2.186123746,0.278222375,0.319715613,0.163878847,0.115255192,1.33972801
8,GJHFR-127A,GJH,FR,0.00163666,0.010246878,0.654159743,2.146383268,0.285189919,0.316431278,0.164749149,0.120588959,1.413240692
9,GJHFR-127A,GJH,FR,0.001575646,0.009684851,0.665174142,2.141634268,0.284498443,0.314858186,0.166458752,0.120758694,1.406004248
10,GJHFR-127A,GJH,FR,0.001520182,0.009848191,0.661969926,2.209743752,0.28583891,0.3210118,0.167174971,0.122063779,1.412605331
11,GJHFR-127A,GJH,FR,0.001533836,0.009455585,0.686959796,2.318182834,0.299158969,0.338620456,0.172251138,0.125314576,1.481369738
12,GJHFR-127A,GJH,FR,0.001465201,0.009353479,0.64553577,2.163569498,0.281659476,0.321353222,0.176357522,0.125446875,1.404851748
13,GJHFR-127A,GJH,FR,0.001393735,0.009102741,0.656647575,2.321969837,0.304719159,0.337448862,0.176647985,0.126953565,1.449810621
14,GJHFR-127A,GJH,FR,0.001409921,0.008843425,0.668115055,2.301548592,0.291695397,0.326413915,0.184490386,0.127660933,1.506279644
